,genre,metascore,imdbrating,internet_movie_database_rating,rotten_tomato_rating,metacritic_rating,budget
1763,Animation,0.0,7.6,7.6,0.0,0.0,0.0
1764,Comedy,0.0,5.0,5.0,57.0,0.0,0.0
1765,Drama,0.0,6.4,6.4,0.0,0.0,0.0
1766,Drama,0.0,6.7,6.7,0.0,0.0,0.0
1767,Adventure,0.0,5.7,5.7,71.0,0.0,0.0
1768,Action,0.0,4.5,4.5,22.0,0.0,0.0
1769,Action,0.0,5.8,5.8,75.0,0.0,0.0
1770,Family,0.0,4.7,4.7,60.0,0.0,0.0
1771,Action,0.0,3.0,3.0,0.0,0.0,0.0
1772,Drama,0.0,4.8,4.8,0.0,0.0,0.0
1773,Drama,67.0,6.8,6.8,75.0,67.0,0.0
