title,rated,released,runtime,director,writer,actors,plot,language,country,awards,metascore,imdbrating,imdbvotes,dvd,boxoffice,response,genre,star,budget,gross,year,internet_movie_database_rating,rotten_tomato_rating,metacritic_rating
Duck Butter,Not Rated,2018-04-27,93,Miguel Arteta,"Miguel Arteta, Alia Shawkat","Alia Shawkat, Drew Langer, Marc Maron","Two women, who are dissatisfied with the dishonesty they see in dating and relationships, decide to make a pact to spend 24 hours together hoping to find a new way to create intimacy.","English, Catalan, Spanish",United States,2 wins & 1 nomination,58.0,5.3,3768,24 Apr 2018,6877.0,True,Comedy,Alia Shawkat,0.0,6877.0,2018,5.3,55.0,58.0
Padmaavat,Not Rated,2018-01-25,164,Sanjay Leela Bhansali,"Prakash Kapadia, Sanjay Leela Bhansali","Deepika Padukone, Ranveer Singh, Shahid Kapoor","Set in medieval Rajasthan, Queen Padmavati is married to a noble king and they live in a prosperous fortress with their subjects until an ambitious Sultan hears of Padmavati's beauty and forms an obsessive love for the Queen of Mewar","Hindi, Tamil, Rajasthani",India,33 wins & 41 nominations,63.0,7.0,30179,29 Mar 2018,11846060.0,True,Drama,Deepika Padukone,0.0,60508780.0,2018,7.0,56.0,63.0
SuperFly,R,2018-06-13,116,Director X.,Alex Tse,"Trevor Jackson, Jason Mitchell, Lex Scott Davis","With retirement on his mind, a successful Atlanta-based drug dealer sets up one last big job while dealing with trigger-happy colleagues and the police.","English, Spanish, Cantonese",United States,NA,52.0,5.2,6839,28 Aug 2018,20545116.0,True,Action,Trevor Jackson,16000000.0,20780685.0,2018,5.2,51.0,52.0
Early Man,PG,2018-02-16,89,Nick Park,"Mark Burton, James Higginson, Nick Park","Eddie Redmayne, Tom Hiddleston, Maisie Williams","Set at the dawn of time, when prehistoric creatures and woolly mammoths roamed the earth, Early Man tells the story of Dug, along with sidekick Hognob as they unite his tribe against a mighty enemy Lord Nooth and his Bronze Age City ",English,"France, United Kingdom, United States, Ireland",1 win & 15 nominations,68.0,6.1,21452,22 May 2018,8267544.0,True,Animation,Eddie Redmayne,50000000.0,54622814.0,2018,6.1,80.0,68.0
I Can Only Imagine,PG,2018-03-16,110,"Andrew Erwin, Jon Erwin","Bart Millard, Jon Erwin, Brent McCorkle","J. Michael Finley, Madeline Carroll, Dennis Quaid","The inspiring and unknown true story behind MercyMe's beloved, chart topping song that brings ultimate hope to so many is a gripping reminder of the power of true forgiveness.",English,United States,6 wins & 5 nominations,30.0,7.4,15640,12 Jun 2018,83482352.0,True,Biography,J. Michael Finley,7000000.0,86086881.0,2018,7.4,67.0,30.0
The Hummingbird Project,R,2019-03-22,111,Kim Nguyen,Kim Nguyen,"Jesse Eisenberg, Alexander Skarsgård, Salma Hayek",A pair of high-frequency traders go up against their old boss in an effort to make millions in a fiber-optic cable deal.,"English, Spanish, Hebrew, Italian, Russian","Canada, Belgium",3 wins & 5 nominations,58.0,6.2,13820,11 Jun 2019,371784.0,True,Drama,Jesse Eisenberg,0.0,878199.0,2019,6.2,58.0,58.0
Dragon Ball Super: Broly,PG,2019-01-16,100,Tatsuya Nagamine,Akira Toriyama,"Masako Nozawa, Aya Hisakawa, Ryô Horikawa","Goku and Vegeta encounter Broly, a Saiyan warrior unlike any fighter they've faced before.",Japanese,Japan,2 nominations,59.0,7.8,25220,16 Apr 2019,30712119.0,True,Animation,Masako Nozawa,8500000.0,115757940.0,2019,7.8,82.0,59.0
Gloria Bell,R,2019-03-22,102,Sebastián Lelio,"Alice Johnson Boher, Sebastián Lelio, Gonzalo Maza","Julianne Moore, John Turturro, Caren Pistorius",A free-spirited woman in her 50s seeks out love at L.A. dance clubs.,English,"Chile, United States",9 nominations,79.0,6.3,11070,NA,5611123.0,True,Comedy,Julianne Moore,0.0,11145006.0,2019,6.3,0.0,79.0
Kin,PG-13,2018-08-31,102,"Jonathan Baker, Josh Baker","Jonathan Baker, Josh Baker, Daniel Casey","Myles Truitt, Jack Reynor, Dennis Quaid","Chased by a vengeful criminal, the feds and a gang of otherworldly soldiers, an ex-con and his adopted teenage brother go on the run with a weapon of mysterious origin as their only protection.",English,"United States, Canada",3 nominations,35.0,5.8,16542,20 Nov 2018,5718096.0,True,Action,Myles Truitt,30000000.0,10313019.0,2018,5.8,35.0,35.0
Aniara,R,2019-05-17,106,"Pella Kagerman, Hugo Lilja","Pella Kagerman, Hugo Lilja, Harry Martinson","Emelie Garbers, Bianca Cruzeiro, Arvin Kananian","A spaceship carrying settlers to Mars is knocked off course, causing the consumption-obsessed passengers to consider their place in the universe.","Swedish, Spanish, English","Sweden, Denmark, United States",11 wins & 10 nominations,61.0,6.3,8426,17 May 2019,40124.0,True,Drama,Emelie Garbers,0.0,40124.0,2019,6.3,71.0,61.0
Becoming Astrid,NA,2018-09-14,123,Pernille Fischer Christensen,"Kim Fupz Aakeson, Pernille Fischer Christensen","Alba August, Maria Bonnevie, Trine Dyrholm","Biopic of Swedish writer Astrid Lindgren, the author of numerous children's books and creator of Pippi Longstocking.","Swedish, Danish","Sweden, Denmark",2 wins & 11 nominations,71.0,7.1,5791,19 Mar 2019,120486.0,True,Biography,Alba August,0.0,962653.0,2018,7.1,97.0,71.0
Goosebumps 2: Haunted Halloween,PG,2018-10-12,90,Ari Sandel,"Rob Lieber, Darren Lemke, R.L. Stine","Wendi McLendon-Covey, Madison Iseman, Jeremy Ray Taylor",Two young friends find a magic book that brings a ventriloquist's dummy to life.,English,United States,NA,53.0,5.6,20192,24 Dec 2018,46700633.0,True,Animation,Wendi McLendon-Covey,35000000.0,93320380.0,2018,5.6,47.0,53.0
The Quake,PG-13,2018-12-14,106,John Andreas Andersen,"John Kåre Raake, Harald Rosenløw-Eeg","Kristoffer Joner, Ane Dahl Torp, Edith Haagenrud-Sande","In 1904 an earthquake of magnitude 5.4 on the Richter scale shook Oslo, with an epicenter in the ""Oslo Graben"" which runs under the Norwegian capital. There are now signs that indicate that we can expect a major future earthquake in ","English, Indonesian, Norwegian",Norway,2 wins & 7 nominations,70.0,6.2,11231,19 Mar 2019,6235.0,True,Action,Kristoffer Joner,0.0,13837294.0,2018,6.2,85.0,70.0
7 Days in Entebbe,PG-13,2018-03-16,107,José Padilha,Gregory Burke,"Batsheva Dance Company, Zina Zinchenko, Ben Schnetzer","Inspired by the true events of the 1976 hijacking of an Air France flight en route from Tel Aviv to Paris, and the most daring rescue mission ever attempted.","English, German, French, Hebrew, Arabic","United Kingdom, United States, France, Malta",NA,49.0,5.8,15247,03 Jul 2018,3326885.0,True,Action,Batsheva Dance Company,0.0,8771432.0,2018,5.8,24.0,49.0
